Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
177,67-V725,145.725000,-,0.600000,Tone,100.0,100.0,023,NN,NFM,5.00,,,,,,
178,67-U400,439.400000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
179,67-U425,439.425000,-,7.600000,TSQL,67.0,67.0,023,NN,NFM,5.00,,,,,,
180,68-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
181,68-U375,439.375000,-,7.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
182,70-V750,145.750000,-,0.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
183,74-V600,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
184,74-V750,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
185,74-U200,439.200000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
186,78-V650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
187,78-V700,145.700000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
188,78-V775,145.775000,-,0.600000,TSQL,82.5,82.5,023,NN,NFM,5.00,,,,,,
189,78-U175,439.175000,-,7.600000,TSQL,88.5,88.5,023,NN,NFM,5.00,,,,,,
190,78-U250,439.250000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
191,80-V600,145.600000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
192,80-V775,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
193,80-U200,439.200000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
194,80-U375,439.375000,-,7.600000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
195,80-U375,439.375000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
196,81-V650,145.650000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
197,81-V675,145.675000,-,0.600000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
198,81-V750,145.750000,-,0.600000,Tone,82.5,82.5,023,NN,NFM,5.00,,,,,,
199,81-U175,439.175000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
